"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-01",,"50","24","41"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-02",,"55","37","54"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-03",,"56","30","33"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-04",,"46","30","30"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-05",,"30","20","27"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-06",,"39","25","34"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-07",,"34","26","27"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-08",,"46","17","41"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-09",,"41","33","36"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-10",,"45","34","44"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-11",,"44","31","35"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-12",,"35","24","29"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-13",,"29","15","15"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-14",,"23","5","21"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-15",,"32","15","31"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-16",,"37","20","20"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-17",,"20","5","13"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-18",,"24","12","24"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-19",,"26","14","23"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-20",,"23","11","11"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-21",,"17","2","10"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-22",,"14","-2","13"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-23",,"29","13","21"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-24",,"21","7","13"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-25",,"22","0","19"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-26",,"19","3","8"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-27",,"18","-2","10"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-28",,"31","4","24"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-29",,"31","4","25"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-30",,"30","23","28"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-01-31",,"31","19","25"
